No.,Product,ASIN,Category,Rank,Method,Brand,Approval Status,Est Sales,BuyBox Price,COGs,FBA,Cost per Unit,Profit,Markup,YES/NO
1,"Scotch Magic Tape, Invisible, Home Office Supplies and Back to School Supplies for College and Classrooms, 6 Tape Rolls with Dispensers",B0000DH8HQ,BASE_PRODUCT,2,Wholesale,,Required,850,13.99,6.15,6.19,6.77,1.65,11.76%,NO
2,"Owala FreeSip Insulated Stainless Steel Water Bottle with Straw, BPA-Free Sports Water Bottle, Great for Travel, 24 Oz, Very, Very Dark",B085DTZQNZ,BASE_PRODUCT,1,Wholesale,,Approved,15000,27.29,12.01,3.22,13.21,7.1,26.01%,NO
3,"Hydro Flask Water Bottle - Insulated Stainless Steel - Wide Mouth Flex Lid, Non Spill, Leakproof and Refillable in 32 Oz Black",B07YXM6XTF,BASE_PRODUCT,12,Wholesale,,Approved,8000,42.17,18.55,3.22,20.41,13.2,31.30%,NO
4,"Astercook Deep-Carbonized Bamboo Cutting Boards for Kitchen with Wood Storage Stand, Reversible Charcuterie & Chopping Boards with Juice Grooves and Easy-Grip Handles, Knife-Friendly, Kitchen Gift",B0FH6YL3XC,BASE_PRODUCT,2,Wholesale,,Approved,12000,39.99,17.59,3.22,19.35,12.31,30.77%,NO
5,"Freshware Bamboo Cutting Board Set of 3, Wooden Cutting Boards for Kitchen, Knife Friendly Food Grade Chopping Board, Lightweight with Hanging Hole for Easy Storage",B016OP6N3M,BASE_PRODUCT,1,Wholesale,,Approved,15000,19.99,8.79,3.22,9.67,4.11,20.54%,NO
6,"Freshware Wood Cutting Boards for Kitchen - Bamboo Cutting Board Set of 3, Cutting Boards with Juice Grooves, Serving Board Set, Chopping Board for Meat, Veggie, Easy Grip Handle (9x6"", 12x8"", 15x10"")",B0CTS1XLH3,BASE_PRODUCT,1,Wholesale,,Approved,15000,19.99,8.79,3.22,9.67,4.11,20.54%,NO
7,"Homaxy Extra Large Organic Bamboo Cutting Boards for Kitchen, 18""x12"" Wooden XL Cutting Board with Juice Groove and Handles, Charcuterie Butcher Block Wood Serving & Chopping Board - Pre Oiled",B0D9RK75D1,BASE_PRODUCT,37,Wholesale,,Approved,3000,17.99,7.92,3.22,8.71,3.29,18.27%,NO
8,"Kitsure Bamboo Cutting Board - Multi-Sizes Wooden Cutting Boards for Kitchen, Convenient Kitchen Essentials with Deep Juice Grooves， Cutting Board for Chopping & Serving, Large, Natural",B0DXPWTSG1,BASE_PRODUCT,11,Wholesale,,Approved,8000,14.99,6.59,3.22,7.25,2.06,13.72%,NO
9,Wireless Earbuds Noise Cancelling,B0DQ6N45EF,Electronics,1567,Wholesale,SoundPeak,Required,850,39.99,17.59,,19.35,,30.77%,NO
10,Stainless Steel Kitchen Utensil Set 12-Piece,B0CX23V5KK,Kitchen & Dining,3421,Wholesale,HomeChef Pro,Required,480,29.99,13.2,,14.52,,27.36%,NO
11,Cast Iron Skillet 10-Inch Pre-Seasoned,B0BN4R67WX,Kitchen & Dining,2890,Wholesale,IronForge,Approved,650,34.99,15.39,,16.93,,29.31%,NO
12,Bamboo Cutting Board with Juice Groove,B0BY7K3PQR,Kitchen & Dining,5612,Wholesale,EcoBoard,Required,320,24.99,11,,12.1,,24.63%,NO
13,Wireless Earbuds Noise Cancelling,B0DQ6N45EF,Electronics,9436,Wholesale,SoundPeak,Denied,1609,60.19,20.35,5.13,22.38,22.77,37.83%,NO
14,Portable Phone Charger 20000mAh,B0CT3P78GH,Electronics,48245,Wholesale,JuiceBox,Denied,3658,32.73,13.34,4.89,14.68,7.38,22.56%,NO
15,Bamboo Cutting Board with Juice Groove,B0BY7K3PQR,Kitchen,42669,Wholesale,EcoBoard,Denied,230,55.41,18.17,5.73,19.99,20.51,37.01%,NO
16,Wireless Earbuds Noise Cancelling,B0DQ6N45EF,Electronics,10342,Wholesale,SoundPeak,Denied,3777,52.79,19.84,4.85,21.82,17.33,32.83%,NO
17,Bamboo Cutting Board with Juice Groove,B0BY7K3PQR,Kitchen,47640,Wholesale,EcoBoard,Approved,4145,45.01,20.79,5.15,22.87,9.38,20.83%,NO
